,pep1,pep2,pep3,pep4,pep1_2,pep2_2,pep3_2,pep4_2,pep1_indiv,pep2_indiv,pep3_indiv,pep4_indiv,pep5_indiv,pep6_indiv,pep7_indiv,pep8_indiv,pep1_2_indiv,pep2_2_indiv,pep3_2_indiv,pep4_2_indiv,pep5_2_indiv,pep6_2_indiv,pep7_2_indiv,pep8_2_indiv
192,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
193,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
194,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
195,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
196,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
197,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
198,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
199,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,12,1,12,7,7,12,7
200,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
201,7,10,12,11,7,2,12,5,7,12,7,12,12,7,7,8,9,6,1,12,7,7,12,7
202,7,10,12,11,7,2,12,5,7,12,7,12,12,7,7,8,9,6,1,12,7,7,12,7
203,7,10,12,11,7,2,12,5,7,12,10,12,12,7,7,8,9,6,1,12,7,7,12,7
204,7,10,12,11,7,2,12,5,7,12,10,8,12,7,7,8,9,6,1,12,7,7,12,7
205,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,6,1,12,7,7,12,7
206,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,6,1,12,7,7,12,7
207,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,7,1,12,7,7,12,7
208,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
209,7,10,8,11,7,2,12,7,7,12,7,8,12,7,7,8,9,7,1,12,7,7,12,7
210,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,7,1,12,7,7,12,7
211,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,7,1,12,7,7,12,10
212,7,10,8,11,7,2,12,5,7,12,10,8,12,7,7,8,9,12,1,12,7,7,12,7
213,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
214,7,10,8,11,7,2,12,5,7,12,10,8,12,7,7,8,9,12,1,12,7,7,12,7
